BOCOM International Securities Limited,CCB International Capital Limited,1
BOCOM International Securities Limited,ICBC International Securities Limited,1
BOCOM International Securities Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
BOCOM International Securities Limited,DBS Asia Capital Limited,1
Livermore Holdings Limited,BOCOM International Securities Limited,1
Livermore Holdings Limited,CLSA Limited,1
Livermore Holdings Limited,CMBC Securities Company Limited,2
Livermore Holdings Limited,Guotai Junan Securities (Hong Kong) Limited,1
Livermore Holdings Limited,SPDB International Capital Limited,1
Livermore Holdings Limited,China Everbright Securities (HK) Limited,1
Livermore Holdings Limited,China Securities (International) Corporate Finance Company Limited,1
Livermore Holdings Limited,CMB International Capital Limited,1
The Hongkong and Shanghai Banking Corporation Limited,CLSA Limited,2
The Hongkong and Shanghai Banking Corporation Limited,GF Securities (Hong Kong) Brokerage Limited,1
The Hongkong and Shanghai Banking Corporation Limited,Huatai Financial Holdings (Hong Kong) Limited,2
The Hongkong and Shanghai Banking Corporation Limited,China International Capital Corporation Hong Kong Securities Limited,3
The Hongkong and Shanghai Banking Corporation Limited,Deutsche Bank AG,3
The Hongkong and Shanghai Banking Corporation Limited,Shanghai Banking Corporation Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,CCB International Capital Limited,2
China Galaxy International Securities (Hong Kong) Co. Limited,CMB International Capital Limited,2
China Galaxy International Securities (Hong Kong) Co. Limited,Haitong International Securities Company Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,SPDB International Capital Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,China International Capital Corporation Hong Kong Securities Limited,3
China Galaxy International Securities (Hong Kong) Co. Limited,BOCOM International Securities Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,CLSA Limited,2
China Galaxy International Securities (Hong Kong) Co. Limited,DBS Asia Capital Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,ABCI Capital Limited,2
China Galaxy International Securities (Hong Kong) Co. Limited,BNP Paribas Securities (Asia) Limited,2
China Galaxy International Securities (Hong Kong) Co. Limited,BOCI Asia Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,China Securities (International) Corporate Finance Company Limited,1
China Galaxy International Securities (Hong Kong) Co. Limited,Huatai Financial Holdings (Hong Kong) Limited,1
Haitong International Securities Company Limited,CCB International Capital Limited,3
Haitong International Securities Company Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
