company,oc_date,sponsors,others,document_url
"Mininglamp Technology - W (formerly known as Leading Smart Holdings Limited","10/06/2025","CICC","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107429/documents/sehk25061001248.pdf"
"Shanghai Seer Intelligent Technology Co., Ltd.","10/06/2025","CICC","CMB","https://www1.hkexnews.hk/app/sehk/2025/107400/documents/sehk25061001432.pdf"
"Shenzhen Han's CNC Technology Co., Ltd.","10/06/2025","CICC","Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107415/documents/sehk25061001006.pdf"
"Guangzhou Innogen Pharmaceutical Group Co., Ltd.","09/06/2025","CLSA; CICC","Deutsche Bank; Macquarie","https://www1.hkexnews.hk/app/sehk/2025/107428/documents/sehk25060901599.pdf"
"Shenzhen Chuangzhi Semi-link Technology Co., Ltd.","09/06/2025","","Haitong; CCB; CMS","https://www1.hkexnews.hk/app/sehk/2025/107427/documents/sehk25060901523.pdf"
"Worldwide Logistics Holding Inc.","09/06/2025","CLSA; CMB","China Industrial","https://www1.hkexnews.hk/app/sehk/2025/107399/documents/sehk25060900807.pdf"
"Switchbot (Shenzhen) Co., Ltd.","08/06/2025","Guotai Junan; Huatai","","https://www1.hkexnews.hk/app/sehk/2025/107426/documents/sehk25060800138.pdf"
"Beijing Sinotau International Pharmaceutical Technology Co., Ltd.","06/06/2025","","CICC; CLSA; GF Securities; DBS; CMB","https://www1.hkexnews.hk/app/sehk/2025/107395/documents/sehk25060601346.pdf"
"52TOYS Development Co., Ltd.","05/06/2025","Citi; Huatai","GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107389/documents/sehk25060500514.pdf"
"SANY Heavy Industry Co., Ltd.","05/06/2025","CLSA","CICC","https://www1.hkexnews.hk/app/sehk/2025/107388/documents/sehk25060502412.pdf"
"Shenzhen Hipine Precision Technology Co., Ltd.","04/06/2025","","Ping An Securities","https://www1.hkexnews.hk/app/sehk/2025/107421/documents/sehk25060302776.pdf"
